"Dimension","base_Spearman","en_ft_Spearman","nl_ft_Spearman","QA_ft_Spearman","Z_base_vs_en","p_base_vs_en","Z_base_vs_nl","p_base_vs_nl","Z_base_vs_QA","p_base_vs_QA","Z_en_vs_nl","p_en_vs_nl","Z_en_vs_qa","p_en_vs_qa","Z_nl_vs_qa","p_nl_vs_qa"
"auditory",0.351128322472943,0.8748109485537,0.839475186559766,0.231852299704801,-30.9617280945811,0,-27.8823186199573,0,5.97892420457379,2.24616036881287e-09,7.11436926162193,1.12421183473543e-12,33.0199590440211,0,29.8622045816042,0
"gustatory",0.363268429198972,0.562166929509325,0.420680090460988,0.414297108969838,-9.09889977441197,0,-2.30567133546667,0.0211290039574004,-2.217526796751,0.0265871139855889,8.10153300999532,4.44089209850063e-16,7.84912084566196,4.2188474935756e-15,0.328628735400063,0.742436325649595
"haptic",0.317004677706392,0.832617890412225,0.773478185914741,0.531806361513155,-27.2383165305034,0,-22.8960879799416,0,-11.0944065392172,0,8.13497355679499,4.44089209850063e-16,21.3956096238493,0,16.0714187907381,0
"interoceptive",0.505173661154183,0.84366731941627,0.735881544054008,0.404955941634407,-24.5160644396733,0,-13.3206041508261,0,5.5967742397735,2.18376772220807e-08,12.8327663083937,0,26.9982722130153,0,17.2054968767224,0
"olfactory",0.485185827040018,0.6563733487833,0.539484591419847,0.485505222072481,-10.100485397648,0,-2.78694283455479,0.00532078642388378,-0.0180206949883455,0.985622343877802,8.08423057720627,6.66133814775094e-16,10.7856574392691,0,3.2321320207783,0.0012287027447111
"visual",-0.0760084759149879,0.827284901347418,0.787189722800453,0.194119662109314,-33.3828897262009,0,-29.7672208027514,0,-11.6650897228384,0,6.78179680826865,1.18689502670577e-11,28.964116325748,0,25.7694763421768,0
"foot",0.335781689684313,0.799723015901239,0.510609875599508,0.278083288320423,-23.9061314812843,0,-7.04933875203099,1.79767312147305e-12,2.29620301402113,0.0216642762993997,18.4225181185314,0,25.341063353548,0,9.84259149186282,0
"hand",0.142637819418254,0.840849592879619,0.678955530471288,0.227825047086789,-31.3793981183978,0,-21.8736307250843,0,-4.81747240641859,1.45388189287665e-06,15.8586698895971,0,29.8463628619967,0,19.5417132146941,0
"head",0.328432606002556,0.686874427563773,0.387622344174158,0.404130065368401,-17.2901797423638,0,-2.34613733331953,0.0189691166317365,-3.8171513505342,0.000135001361772025,15.7262720701618,0,14.8230073644873,0,-0.676766368385227,0.498554199735955
"mouth",0.447411535457136,0.830847161669866,0.703467283269873,0.374519017402377,-24.3818286238731,0,-13.2840117846154,0,3.39155884403242,0.000694962381874387,12.9226348807799,0,25.310609880642,0,16.0254784914416,0
"torso",0.32674357391379,0.765632831474479,0.522930513569613,0.366807599716764,-21.4919680337565,0,-8.55842625398832,0,-2.0356698110414,0.0417835224847816,16.0157386525597,0,20.6212457237938,0,7.03260130333076,2.02726724296554e-12
